year,month,oni,dmi,mjo_amplitude,mjo_phase
1950,1,-1.32,-0.044,1.2760753797360933,0.0
1950,2,-1.2,-0.553,1.2760753797360933,0.0
1950,3,-1.12,-0.692,1.2760753797360933,0.0
1950,4,-1.08,-0.474,1.2760753797360933,0.0
1950,5,-1.1,-0.309,1.2760753797360933,0.0
1950,6,-0.9,-0.493,1.2760753797360933,0.0
1950,7,-0.62,-0.348,1.2760753797360933,0.0
1950,8,-0.57,-0.22,1.2760753797360933,0.0
1950,9,-0.56,-0.631,1.2760753797360933,0.0
1950,10,-0.62,-0.59,1.2760753797360933,0.0
1950,11,-0.66,-0.227,1.2760753797360933,0.0
1950,12,-0.79,-0.027,1.2760753797360933,0.0
1951,1,-0.66,0.256,1.2760753797360933,0.0
1951,2,-0.36,0.211,1.2760753797360933,0.0
1951,3,-0.04,0.259,1.2760753797360933,0.0
1951,4,0.16,-0.514,1.2760753797360933,0.0
1951,5,0.27,-0.138,1.2760753797360933,0.0
1951,6,0.5,-0.19,1.2760753797360933,0.0
1951,7,0.71,-0.22,1.2760753797360933,0.0
1951,8,0.9,0.124,1.2760753797360933,0.0
1951,9,1.02,-0.005,1.2760753797360933,0.0
1951,10,1.03,-0.168,1.2760753797360933,0.0
1951,11,0.96,0.122,1.2760753797360933,0.0
1951,12,0.71,-0.072,1.2760753797360933,0.0
1952,1,0.52,-0.069,1.2760753797360933,0.0
1952,2,0.27,0.08,1.2760753797360933,0.0
1952,3,0.33,0.126,1.2760753797360933,0.0
1952,4,0.18,0.074,1.2760753797360933,0.0
1952,5,-0.07,-0.148,1.2760753797360933,0.0
1952,6,-0.44,0.019,1.2760753797360933,0.0
1952,7,-0.45,-0.43,1.2760753797360933,0.0
1952,8,-0.2,-0.463,1.2760753797360933,0.0
1952,9,0.03,-0.606,1.2760753797360933,0.0
1952,10,0.04,-0.546,1.2760753797360933,0.0
1952,11,-0.11,-0.171,1.2760753797360933,0.0
1952,12,0.06,-0.031,1.2760753797360933,0.0
1953,1,0.25,0.304,1.2760753797360933,0.0
1953,2,0.5,0.285,1.2760753797360933,0.0
1953,3,0.48,0.188,1.2760753797360933,0.0
1953,4,0.56,-0.054,1.2760753797360933,0.0
1953,5,0.77,0.316,1.2760753797360933,0.0
1953,6,0.74,-0.113,1.2760753797360933,0.0
1953,7,0.63,-0.178,1.2760753797360933,0.0
1953,8,0.68,-0.231,1.2760753797360933,0.0
1953,9,0.59,-0.24,1.2760753797360933,0.0
1953,10,0.78,-0.312,1.2760753797360933,0.0
1953,11,0.52,-0.136,1.2760753797360933,0.0
1953,12,0.56,-0.119,1.2760753797360933,0.0
1954,1,0.41,-0.339,1.2760753797360933,0.0
1954,2,0.35,-0.272,1.2760753797360933,0.0
1954,3,0.01,-0.163,1.2760753797360933,0.0
1954,4,-0.27,-0.009,1.2760753797360933,0.0
1954,5,-0.48,-0.55,1.2760753797360933,0.0
1954,6,-0.48,-0.505,1.2760753797360933,0.0
1954,7,-0.67,-0.855,1.2760753797360933,0.0
1954,8,-0.83,-0.631,1.2760753797360933,0.0
1954,9,-0.73,-0.719,1.2760753797360933,0.0
1954,10,-0.52,-0.836,1.2760753797360933,0.0
1954,11,-0.4,-0.451,1.2760753797360933,0.0
1954,12,-0.44,-0.053,1.2760753797360933,0.0
1955,1,-0.5,-0.05,1.2760753797360933,0.0
1955,2,-0.48,-0.152,1.2760753797360933,0.0
1955,3,-0.58,0.019,1.2760753797360933,0.0
1955,4,-0.76,-0.044,1.2760753797360933,0.0
1955,5,-0.78,-0.696,1.2760753797360933,0.0
1955,6,-0.88,-0.387,1.2760753797360933,0.0
1955,7,-0.72,-0.439,1.2760753797360933,0.0
1955,8,-0.92,-0.43,1.2760753797360933,0.0
1955,9,-1.11,-0.738,1.2760753797360933,0.0
1955,10,-1.44,-0.73,1.2760753797360933,0.0
1955,11,-1.59,-0.269,1.2760753797360933,0.0
1955,12,-1.51,-0.301,1.2760753797360933,0.0
1956,1,-1.17,-0.101,1.2760753797360933,0.0
1956,2,-0.81,-0.021,1.2760753797360933,0.0
1956,3,-0.57,-0.001,1.2760753797360933,0.0
1956,4,-0.51,-0.3,1.2760753797360933,0.0
1956,5,-0.49,-0.57,1.2760753797360933,0.0
1956,6,-0.47,-0.826,1.2760753797360933,0.0
1956,7,-0.55,-1.083,1.2760753797360933,0.0
1956,8,-0.52,-0.772,1.2760753797360933,0.0
1956,9,-0.43,-0.803,1.2760753797360933,0.0
1956,10,-0.39,-0.672,1.2760753797360933,0.0
1956,11,-0.37,-0.516,1.2760753797360933,0.0
1956,12,-0.39,-0.15,1.2760753797360933,0.0
1957,1,-0.27,-0.437,1.2760753797360933,0.0
1957,2,-0.06,-0.563,1.2760753797360933,0.0
1957,3,0.26,-0.197,1.2760753797360933,0.0
1957,4,0.63,-0.3,1.2760753797360933,0.0
