year,month,district_id,lat,lon,coastal,dry_belt,oni,dmi,mjo_amplitude,mjo_phase,onset_target,break_target,heavy_target
1990,6,MH-PUN,18.5204,73.8567,0,1,0.25,-0.568,0.7040596286666666,6.0,0.36666666666666664,0.23333333333333334,0.0
1990,7,MH-PUN,18.5204,73.8567,0,1,0.26,-0.246,0.7642434731967742,1.0,0.6451612903225806,0.06451612903225806,0.0
1990,8,MH-PUN,18.5204,73.8567,0,1,0.32,-0.391,0.8801470647322581,6.0,0.3548387096774194,0.22580645161290322,0.0
1990,9,MH-PUN,18.5204,73.8567,0,1,0.31,-0.183,0.775732242,3.0,0.0,0.7666666666666667,0.0
1991,6,MH-PUN,18.5204,73.8567,0,1,0.63,0.263,1.4334286633333333,5.0,0.5333333333333333,0.3,0.06666666666666667
1991,7,MH-PUN,18.5204,73.8567,0,1,0.77,0.269,0.6487244419290323,6.0,0.5806451612903226,0.0,0.0
1991,8,MH-PUN,18.5204,73.8567,0,1,0.67,0.058,1.2953001661290322,5.0,0.25806451612903225,0.5483870967741935,0.0
1991,9,MH-PUN,18.5204,73.8567,0,1,0.72,0.099,1.3728957676666669,8.0,0.23333333333333334,0.6,0.0
1992,6,MH-PUN,18.5204,73.8567,0,1,0.72,-0.861,1.0309609286666666,3.0,0.4,0.43333333333333335,0.0
1992,7,MH-PUN,18.5204,73.8567,0,1,0.35,-0.479,1.032042581935484,3.0,0.3548387096774194,0.3870967741935484,0.0
1992,8,MH-PUN,18.5204,73.8567,0,1,0.08,-0.768,0.7930089680645162,5.0,0.3548387096774194,0.5161290322580645,0.0
1992,9,MH-PUN,18.5204,73.8567,0,1,-0.15,-0.833,1.1277177353333334,2.0,0.26666666666666666,0.4,0.0
1993,6,MH-PUN,18.5204,73.8567,0,1,0.56,-0.108,1.5129156700000002,8.0,0.43333333333333335,0.26666666666666666,0.0
1993,7,MH-PUN,18.5204,73.8567,0,1,0.28,-0.152,0.8503892948387097,5.0,0.5161290322580645,0.1935483870967742,0.0
1993,8,MH-PUN,18.5204,73.8567,0,1,0.22,-0.306,0.9336245306,1.0,0.0,0.3870967741935484,0.0
1993,9,MH-PUN,18.5204,73.8567,0,1,0.2,-0.17,0.4647173026666666,2.0,0.0,0.6,0.0
1995,6,MH-PUN,18.5204,73.8567,0,1,-0.11,-0.078,0.8386585686666667,2.0,0.0,0.9333333333333333,0.0
1995,7,MH-PUN,18.5204,73.8567,0,1,-0.3,-0.169,1.3968855583870967,2.0,0.41935483870967744,0.22580645161290322,0.0
1995,8,MH-PUN,18.5204,73.8567,0,1,-0.55,-0.144,1.3320209096774194,2.0,0.0,0.9032258064516129,0.0
1995,9,MH-PUN,18.5204,73.8567,0,1,-0.81,-0.18,1.0134717556666666,5.0,0.4666666666666667,0.3,0.0
1996,6,MH-PUN,18.5204,73.8567,0,1,-0.24,-0.395,1.5769545686666668,3.0,0.43333333333333335,0.4,0.0
